Year,Model,Total_Price,Price_per_month,Mileage,Transmission,Location,Highlight,URL
2019,Proton Iriz Executive 1.6,"RM
          27,900",RM 306,"42,098 km",Automatic,"CARSOME Showroom Chan Sow Lin, Kuala Lumpur 14,744.2 km
          away",-,https://www.carsome.my/buy-car/proton/iriz/2019-proton-iriz-executive-1.6/cgpg500
2021,Toyota Vios GR-S 1.5,"RM
          71,000",RM 778,"72,796 km",Automatic,"CARSOME Showroom Alor Setar, Kedah 14,468.6 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/toyota/vios/2021-toyota-vios-gr-s-1.5/cdzd500
2020,Perodua Aruz AV 1.5,"RM
          54,400",RM 596,"84,023 km",Automatic,"CARSOME Showroom Kuala Terengganu, Terengganu 14,461.7 km
          away",-,https://www.carsome.my/buy-car/perodua/aruz/2020-perodua-aruz-av-1.5/c7zb500
2015,Mazda 2 SKYACTIV-G 1.5,"RM
          38,900",RM 528,"121,229 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",-,https://www.carsome.my/buy-car/mazda/2/2015-mazda-2-skyactiv-g-1.5/cm3c500
2014,Nissan Grand Livina Comfort 1.8,"RM
          28,900",RM 393,"132,489 km",Automatic,"CARSOME Showroom AEON BiG Kepong, Kuala Lumpur 14,735.7 km
          away",-,https://www.carsome.my/buy-car/nissan/grand-livina/2014-nissan-grand-livina-comfort-1.8/cdmg500
2024,Perodua AXIA SE 1.0,"RM
          41,900",RM 459,"17,801 km",Automatic,"CARSOME Showroom Kuala Terengganu, Terengganu 14,461.7 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/perodua/axia/2024-perodua-axia-se-1.0/ce1i500
2023,Proton Persona Executive 1.6,"RM
          40,900",RM 448,"38,615 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/proton/persona/2023-proton-persona-executive-1.6/c5l9500
2018,Mitsubishi Triton VGT Dual Cab 2.4,"RM
          74,000",RM 888,"99,231 km",Automatic,"CARSOME Showroom Kota Kinabalu, Sabah 13,814.5 km
          away",-,https://www.carsome.my/buy-car/mitsubishi/triton/2018-mitsubishi-triton-vgt-dual-cab-2.4/ce38500
2020,Perodua AXIA GXtra 1.0,"RM
          32,400",RM 355,"34,261 km",Automatic,"CARSOME Showroom Kuala Terengganu, Terengganu 14,461.7 km
          away",-,https://www.carsome.my/buy-car/perodua/axia/2020-perodua-axia-gxtra-1.0/ckng500
2011,Mitsubishi Triton Dual Cab 2.5,"RM
          31,400",RM 557,"52,021 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",-,https://www.carsome.my/buy-car/mitsubishi/triton/2011-mitsubishi-triton-dual-cab-2.5/c4tg500
2014,Toyota Camry V 2.5,"RM
          50,400",RM 685,"80,278 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",-,https://www.carsome.my/buy-car/toyota/camry/2014-toyota-camry-v-2.5/c7tg500
2013,Proton Exora Bold CFE Standard 1.6,"RM
          18,800",RM 275,"170,129 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",-,https://www.carsome.my/buy-car/proton/exora/2013-proton-exora-bold-cfe-standard-1.6/csg9500
2019,Volkswagen Polo Comfortline 1.6,"RM
          41,400",RM 454,"47,859 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",-,https://www.carsome.my/buy-car/volkswagen/polo/2019-volkswagen-polo-comfortline-1.6/ckkf500
2017,Honda Accord i-VTEC VTi-L 2.4,"RM
          72,400",RM 966,"116,461 km",Automatic,"CARSOME Showroom Kota Bharu, Kelantan 14,408.9 km
          away",-,https://www.carsome.my/buy-car/honda/accord/2017-honda-accord-i-vtec-vti-l-2.4/chxg500
2022,Proton Saga Standard 1.3,"RM
          30,300",RM 332,"17,788 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",-,https://www.carsome.my/buy-car/proton/saga/2022-proton-saga-standard-1.3/c16h500
2020,Perodua AXIA GXtra 1.0,"RM
          32,400",RM 355,"56,412 km",Automatic,"CARSOME Showroom Alor Setar, Kedah 14,468.6 km
          away",-,https://www.carsome.my/buy-car/perodua/axia/2020-perodua-axia-gxtra-1.0/cysg500
2013,Honda City E i-VTEC 1.5,"RM
          26,900",RM 393,"135,220 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",-,https://www.carsome.my/buy-car/honda/city/2013-honda-city-e-i-vtec-1.5/cnya500
2020,Toyota Hilux Rogue Dual Cab 2.8,"RM
          106,000","RM 1,162","123,968 km",Automatic,"CARSOME Showroom Chan Sow Lin, Kuala Lumpur 14,744.2 km
          away",-,https://www.carsome.my/buy-car/toyota/hilux/2020-toyota-hilux-rogue-dual-cab-2.8/cw6g500
2012,Mazda CX-5 SKYACTIV-G 2.0,"RM
          33,400",RM 533,"189,722 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",-,https://www.carsome.my/buy-car/mazda/cx-5/2012-mazda-cx-5-skyactiv-g-2.0/cp3c500
2023,Perodua Alza AV 1.5,"RM
          72,400",RM 793,"43,866 km",Automatic,"CARSOME Showroom Chan Sow Lin, Kuala Lumpur 14,744.2 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/perodua/alza/2023-perodua-alza-av-1.5/ceaj500
2024,Perodua Myvi H 1.5,"RM
          51,800",RM 568,"14,496 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/perodua/myvi/2024-perodua-myvi-h-1.5/cxoi500
2022,Proton Exora Turbo Premium 1.6,"RM
          43,900",RM 481,"35,060 km",Automatic,"CARSOME Showroom Chan Sow Lin, Kuala Lumpur 14,744.2 km
          away",-,https://www.carsome.my/buy-car/proton/exora/2022-proton-exora-turbo-premium-1.6/c1xi500
2023,Proton X90 Executive 1.5,"RM
          95,900","RM 1,051","28,366 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/proton/x90/2023-proton-x90-executive-1.5/ctgi500
2021,Toyota Vios G 1.5,"RM
          67,400",RM 739,"60,058 km",Automatic,"CARSOME Showroom Chan Sow Lin, Kuala Lumpur 14,744.2 km
          away",-,https://www.carsome.my/buy-car/toyota/vios/2021-toyota-vios-g-1.5/czli500
2018,Mercedes-Benz GLC250 4MATIC AMG Line 2.0,"RM
          130,000","RM 1,560","90,373 km",Automatic,"CARSOME Showroom Chan Sow Lin, Kuala Lumpur 14,744.2 km
          away",-,https://www.carsome.my/buy-car/mercedes-benz/glc250/2018-mercedes-benz-glc250-4matic-amg-line-2.0/chzg500
2015,Proton Exora Turbo Premium 1.6,"RM
          22,400",RM 304,"114,617 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",-,https://www.carsome.my/buy-car/proton/exora/2015-proton-exora-turbo-premium-1.6/c6xb500
2022,Proton Saga Premium 1.3,"RM
          33,300",RM 365,"34,255 km",Automatic,"CARSOME Showroom Johor Jaya, Johor 14,832.8 km
          away",-,https://www.carsome.my/buy-car/proton/saga/2022-proton-saga-premium-1.3/c9jg500
2013,Proton Saga FLX Executive 1.3,"RM
          13,900",RM 203,"158,387 km",Automatic,"CARSOME Showroom Johor Jaya, Johor 14,832.8 km
          away",-,https://www.carsome.my/buy-car/proton/saga/2013-proton-saga-flx-executive-1.3/civ9500
2023,Perodua AXIA X 1.0,"RM
          39,000",RM 427,"25,832 km",Automatic,"CARSOME Showroom Chan Sow Lin, Kuala Lumpur 14,744.2 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/perodua/axia/2023-perodua-axia-x-1.0/c84g500
2023,Honda Civic RS VTEC 1.5,"RM
          122,000","RM 1,337","35,499 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/honda/civic/2023-honda-civic-rs-vtec-1.5/cm7j500
2019,Mazda CX-5 SKYACTIV-G GLS 2.0,"RM
          86,000",RM 942,"114,428 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",-,https://www.carsome.my/buy-car/mazda/cx-5/2019-mazda-cx-5-skyactiv-g-gls-2.0/calg500
2017,Perodua AXIA G 1.0,"RM
          27,900",RM 372,"96,610 km",Automatic,"CARSOME Showroom Chan Sow Lin, Kuala Lumpur 14,744.2 km
          away",-,https://www.carsome.my/buy-car/perodua/axia/2017-perodua-axia-g-1.0/c6y6500
2016,Toyota Vios J 1.5,"RM
          41,900",RM 569,"69,690 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",-,https://www.carsome.my/buy-car/toyota/vios/2016-toyota-vios-j-1.5/cvzd500
2024,Proton Saga Premium S 1.3,"RM
          38,000",RM 416,"15,570 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",-,https://www.carsome.my/buy-car/proton/saga/2024-proton-saga-premium-s-1.3/ci2j500
2017,Perodua Myvi H 1.5,"RM
          35,900",RM 479,"67,521 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",-,https://www.carsome.my/buy-car/perodua/myvi/2017-perodua-myvi-h-1.5/cire500
2015,Mazda 2 SKYACTIV-G 1.5,"RM
          38,900",RM 528,"108,235 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",-,https://www.carsome.my/buy-car/mazda/2/2015-mazda-2-skyactiv-g-1.5/cgig500
2017,Proton Saga Standard 1.3,"RM
          20,900",RM 279,"122,091 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",-,https://www.carsome.my/buy-car/proton/saga/2017-proton-saga-standard-1.3/ceyf500
2016,Perodua AXIA G 1.0,"RM
          24,000",RM 326,"124,419 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",-,https://www.carsome.my/buy-car/perodua/axia/2016-perodua-axia-g-1.0/c0rf500
2017,BMW 118i M Sport 1.5,"RM
          55,800",RM 744,"83,745 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",-,https://www.carsome.my/buy-car/bmw/118i/2017-bmw-118i-m-sport-1.5/cali500
2020,Perodua Aruz AV 1.5,"RM
          54,600",RM 598,"85,331 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/perodua/aruz/2020-perodua-aruz-av-1.5/cggb500
2017,Honda CR-V i-VTEC 2.0,"RM
          69,000",RM 920,"143,936 km",Automatic,"CARSOME Showroom AEON BiG Kepong, Kuala Lumpur 14,735.7 km
          away",-,https://www.carsome.my/buy-car/honda/cr-v/2017-honda-cr-v-i-vtec-2.0/cvre500
2019,Perodua Bezza X Premium 1.3,"RM
          34,400",RM 377,"102,718 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",-,https://www.carsome.my/buy-car/perodua/bezza/2019-perodua-bezza-x-premium-1.3/cixf500
2014,Honda City V i-VTEC 1.5,"RM
          34,800",RM 473,"166,175 km",Automatic,"CARSOME Showroom Kuala Terengganu, Terengganu 14,461.7 km
          away",-,https://www.carsome.my/buy-car/honda/city/2014-honda-city-v-i-vtec-1.5/c0kg500
2017,Perodua Alza Ez 1.5,"RM
          37,400",RM 499,"141,998 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",-,https://www.carsome.my/buy-car/perodua/alza/2017-perodua-alza-ez-1.5/c7kf500
2016,Perodua Bezza Advance Premium 1.3,"RM
          30,400",RM 413,"118,878 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",-,https://www.carsome.my/buy-car/perodua/bezza/2016-perodua-bezza-advance-premium-1.3/cfsd500
2020,Proton Saga Premium 1.3,"RM
          31,300",RM 343,"51,029 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",-,https://www.carsome.my/buy-car/proton/saga/2020-proton-saga-premium-1.3/c7a6500
2021,Mazda CX-3 SKYACTIV GVC 2.0,"RM
          89,400",RM 980,"76,859 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/mazda/cx-3/2021-mazda-cx-3-skyactiv-gvc-2.0/copd500
2014,Honda City S+ i-VTEC 1.5,"RM
          29,900",RM 406,"146,178 km",Automatic,"CARSOME Showroom Johor Jaya, Johor 14,832.8 km
          away",-,https://www.carsome.my/buy-car/honda/city/2014-honda-city-s--i-vtec-1.5/cgbg500
2015,Perodua Myvi SE 1.5,"RM
          29,900",RM 406,"143,993 km",Automatic,"CARSOME Showroom Kuala Terengganu, Terengganu 14,461.7 km
          away",-,https://www.carsome.my/buy-car/perodua/myvi/2015-perodua-myvi-se-1.5/cpvg500
2016,Perodua Alza EZ 1.5,"RM
          34,900",RM 474,"145,371 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",-,https://www.carsome.my/buy-car/perodua/alza/2016-perodua-alza-ez-1.5/cnpf500
2018,Peugeot 208 PureTech 1.2,"RM
          24,400",RM 293,"75,305 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",-,https://www.carsome.my/buy-car/peugeot/208/2018-peugeot-208-puretech-1.2/cfja500
2014,Perodua Alza Ez 1.5,"RM
          27,000",RM 367,"198,937 km",Automatic,"CARSOME Showroom Johor Jaya, Johor 14,832.8 km
          away",-,https://www.carsome.my/buy-car/perodua/alza/2014-perodua-alza-ez-1.5/cpb8500
2016,Perodua Bezza X Premium 1.3,"RM
          29,400",RM 399,"32,592 km",Automatic,"CARSOME Showroom Kota Bharu, Kelantan 14,408.9 km
          away",-,https://www.carsome.my/buy-car/perodua/bezza/2016-perodua-bezza-x-premium-1.3/c8kg500
2021,Perodua Aruz AV 1.5,"RM
          56,400",RM 618,"81,277 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/perodua/aruz/2021-perodua-aruz-av-1.5/cayd500
2010,Perodua Myvi EZ 1.3,"RM
          15,800",RM 320,"118,497 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",-,https://www.carsome.my/buy-car/perodua/myvi/2010-perodua-myvi-ez-1.3/cq4b500
2014,Honda City V i-VTEC 1.5,"RM
          34,800",RM 473,"161,262 km",Automatic,"CARSOME Showroom Alor Setar, Kedah 14,468.6 km
          away",-,https://www.carsome.my/buy-car/honda/city/2014-honda-city-v-i-vtec-1.5/cl0h500
2024,Honda HR-V V 1.5,"RM
          116,900","RM 1,281","3,154 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",New Car Condition,https://www.carsome.my/buy-car/honda/hr-v/2024-honda-hr-v-v-1.5/cg5j500
2024,Perodua Bezza X 1.3,"RM
          42,900",RM 470,"5,896 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",-,https://www.carsome.my/buy-car/perodua/bezza/2024-perodua-bezza-x-1.3/cf0i500
2023,Perodua Alza AV 1.5,"RM
          72,800",RM 798,"10,264 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",-,https://www.carsome.my/buy-car/perodua/alza/2023-perodua-alza-av-1.5/ccvh500
2022,Mitsubishi Xpander 1.5,"RM
          73,900",RM 810,"48,729 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/mitsubishi/xpander/2022-mitsubishi-xpander--1.5/c9aj500
2023,Proton X70 TGDI Premium 1.8,"RM
          76,900",RM 843,"47,520 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/proton/x70/2023-proton-x70-tgdi-premium-1.8/cwti500
2020,Perodua Myvi AV 1.5,"RM
          45,400",RM 498,"80,433 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",-,https://www.carsome.my/buy-car/perodua/myvi/2020-perodua-myvi-av-1.5/colg500
2025,Proton S70 Flagship X 1.5,"RM
          94,800","RM 1,039",1 km,Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",New Car Condition,https://www.carsome.my/buy-car/proton/s70/2025-proton-s70-flagship-x-1.5/cski500
2025,Proton X70 TGDI Premium X 1.5,"RM
          126,800","RM 1,390",1 km,Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",New Car Condition,https://www.carsome.my/buy-car/proton/x70/2025-proton-x70-tgdi-premium-x-1.5/c0li500
2025,Proton X90 Flagship 1.5,"RM
          152,800","RM 1,674",1 km,Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",New Car Condition,https://www.carsome.my/buy-car/proton/x90/2025-proton-x90-flagship-1.5/c4li500
2012,Perodua Alza EZ 1.5,"RM
          23,000",RM 367,"82,770 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",-,https://www.carsome.my/buy-car/perodua/alza/2012-perodua-alza-ez-1.5/c1vd500
2013,Perodua Myvi SE 1.5,"RM
          25,000",RM 366,"131,740 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",-,https://www.carsome.my/buy-car/perodua/myvi/2013-perodua-myvi-se-1.5/c1dc500
2013,Proton Saga FL Standard 1.3,"RM
          12,000",RM 176,"204,827 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",-,https://www.carsome.my/buy-car/proton/saga/2013-proton-saga-fl-standard-1.3/ca9f500
2020,Proton Iriz Premium 1.6,"RM
          32,400",RM 355,"54,039 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",-,https://www.carsome.my/buy-car/proton/iriz/2020-proton-iriz-premium-1.6/c5sf500
2023,Perodua Bezza X 1.3,"RM
          42,400",RM 465,"39,938 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/perodua/bezza/2023-perodua-bezza-x-1.3/cy3g500
2021,Proton X50 TGDI Flagship 1.5,"RM
          69,400",RM 761,"60,686 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/proton/x50/2021-proton-x50-tgdi-flagship-1.5/cx1e500
2022,Perodua Bezza G 1.0,"RM
          34,900",RM 382,"40,622 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",-,https://www.carsome.my/buy-car/perodua/bezza/2022-perodua-bezza-g-1.0/crrh500
2017,Toyota Hilux G Dual Cab 2.8,"RM
          83,900","RM 1,119","129,059 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",-,https://www.carsome.my/buy-car/toyota/hilux/2017-toyota-hilux-g-dual-cab-2.8/cvfd500
2015,Isuzu D-Max Dual Cab 2.5,"RM
          39,000",RM 530,"185,580 km",Manual,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",-,https://www.carsome.my/buy-car/isuzu/d-max/2015-isuzu-d-max-dual-cab-2.5/cqb8500
2023,Mercedes-Benz E300 AMG Line 2.0,"RM
          265,000","RM 2,904","14,717 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",-,https://www.carsome.my/buy-car/mercedes-benz/e300/2023-mercedes-benz-e300-amg-line-2.0/c3xd500
2016,Mitsubishi Outlander 2.4,"RM
          54,400",RM 739,"101,227 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",-,https://www.carsome.my/buy-car/mitsubishi/outlander/2016-mitsubishi-outlander--2.4/csrb500
2022,Perodua Ativa H 1.0,"RM
          57,900",RM 634,"44,603 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/perodua/ativa/2022-perodua-ativa-h-1.0/ckwh500
2023,Perodua AXIA G 1.0,"RM
          36,000",RM 395,"12,532 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",-,https://www.carsome.my/buy-car/perodua/axia/2023-perodua-axia-g-1.0/c7ah500
2020,Perodua Myvi AV 1.5,"RM
          45,400",RM 498,"90,970 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",-,https://www.carsome.my/buy-car/perodua/myvi/2020-perodua-myvi-av-1.5/crig500
2012,Perodua Viva EZ Elite 1.0,"RM
          14,900",RM 238,"180,876 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",-,https://www.carsome.my/buy-car/perodua/viva/2012-perodua-viva-ez-elite-1.0/cjtf500
2016,Perodua AXIA G 1.0,"RM
          24,400",RM 331,"82,535 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",-,https://www.carsome.my/buy-car/perodua/axia/2016-perodua-axia-g-1.0/cuph500
2015,Perodua Alza Advance 1.5,"RM
          36,000",RM 489,"133,158 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",-,https://www.carsome.my/buy-car/perodua/alza/2015-perodua-alza-advance-1.5/colf500
2017,Toyota Innova G 2.0,"RM
          69,900",RM 932,"96,966 km",Automatic,"CARSOME Showroom Chan Sow Lin, Kuala Lumpur 14,744.2 km
          away",-,https://www.carsome.my/buy-car/toyota/innova/2017-toyota-innova-g-2.0/c7pf500
2018,Proton Persona Premium 1.6,"RM
          29,400",RM 353,"110,188 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",-,https://www.carsome.my/buy-car/proton/persona/2018-proton-persona-premium-1.6/cxvd500
2017,Perodua AXIA G 1.0,"RM
          27,900",RM 372,"88,661 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",-,https://www.carsome.my/buy-car/perodua/axia/2017-perodua-axia-g-1.0/cr0h500
2020,Proton Iriz Premium 1.6,"RM
          32,400",RM 355,"70,752 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",-,https://www.carsome.my/buy-car/proton/iriz/2020-proton-iriz-premium-1.6/cpbi500
2025,Peugeot 2008 Allure 1.2,"RM
          99,000","RM 1,085",4 km,Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",New Car Condition,https://www.carsome.my/buy-car/peugeot/2008/2025-peugeot-2008-allure-1.2/csfk500
2025,Peugeot 2008 Allure 1.2,"RM
          99,000","RM 1,085",3 km,Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",New Car Condition,https://www.carsome.my/buy-car/peugeot/2008/2025-peugeot-2008-allure-1.2/ctfk500
2024,Peugeot 3008 THP Allure 1.6,"RM
          110,000","RM 1,205","19,157 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/peugeot/3008/2024-peugeot-3008-thp-allure-1.6/cofk500
2024,Peugeot 3008 THP Allure 1.6,"RM
          110,000","RM 1,205","16,374 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/peugeot/3008/2024-peugeot-3008-thp-allure-1.6/cqfk500
2024,Peugeot 3008 THP Allure 1.6,"RM
          110,000","RM 1,205","19,384 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/peugeot/3008/2024-peugeot-3008-thp-allure-1.6/crfk500
2024,Peugeot 3008 THP Allure 1.6,"RM
          110,000","RM 1,205","20,192 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/peugeot/3008/2024-peugeot-3008-thp-allure-1.6/cpfk500
2015,Hyundai Elantra EX 1.6,"RM
          27,400",RM 372,"113,275 km",Automatic,"CARSOME Showroom Alor Setar, Kedah 14,468.6 km
          away",-,https://www.carsome.my/buy-car/hyundai/elantra/2015-hyundai-elantra-ex-1.6/cmwa500
2021,Toyota Vios E 1.5,"RM
          61,400",RM 673,"71,557 km",Automatic,"CARSOME Showroom AEON BiG Kepong, Kuala Lumpur 14,735.7 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/toyota/vios/2021-toyota-vios-e-1.5/cxog500
2013,Toyota Vios G 1.5,"RM
          33,400",RM 488,"205,912 km",Automatic,"CARSOME Showroom Johor Jaya, Johor 14,832.8 km
          away",-,https://www.carsome.my/buy-car/toyota/vios/2013-toyota-vios-g-1.5/c15b500
2022,Honda City V Sensing 1.5,"RM
          73,400",RM 804,"47,107 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",-,https://www.carsome.my/buy-car/honda/city/2022-honda-city-v-sensing-1.5/coxg500
2018,Mazda CX-5 SKYACTIV-G GLS 2.0,"RM
          80,400",RM 965,"133,444 km",Automatic,"CARSOME Showroom Chan Sow Lin, Kuala Lumpur 14,744.2 km
          away",-,https://www.carsome.my/buy-car/mazda/cx-5/2018-mazda-cx-5-skyactiv-g-gls-2.0/cmbi500
2021,Proton Persona Executive 1.6,"RM
          36,400",RM 399,"53,184 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",-,https://www.carsome.my/buy-car/proton/persona/2021-proton-persona-executive-1.6/cwdh500
2019,Perodua Myvi AV 1.5,"RM
          44,400",RM 487,"68,751 km",Automatic,"CARSOME Showroom Temerloh, Pahang 14,682.9 km
          away",-,https://www.carsome.my/buy-car/perodua/myvi/2019-perodua-myvi-av-1.5/cbeh500
2021,Proton X50 TGDI Flagship 1.5,"RM
          69,900",RM 766,"55,916 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",With Principal Warranty,https://www.carsome.my/buy-car/proton/x50/2021-proton-x50-tgdi-flagship-1.5/covb500
2020,BMW 320i Sport 2.0,"RM
          125,900","RM 1,380","62,752 km",Automatic,"CARSOME Showroom Chan Sow Lin, Kuala Lumpur 14,744.2 km
          away",-,https://www.carsome.my/buy-car/bmw/320i/2020-bmw-320i-sport-2.0/c98i500
2016,Toyota Corolla Altis G 1.8,"RM
          53,400",RM 725,"121,529 km",Automatic,"CARSOME Showroom Johor Jaya, Johor 14,832.8 km
          away",-,https://www.carsome.my/buy-car/toyota/corolla-altis/2016-toyota-corolla-altis-g-1.8/cwv9500
2020,Perodua Bezza X 1.3,"RM
          37,800",RM 414,"55,896 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",-,https://www.carsome.my/buy-car/perodua/bezza/2020-perodua-bezza-x-1.3/cm7i500
2021,Perodua Bezza Advance 1.3,"RM
          44,900",RM 492,"34,812 km",Automatic,"CARSOME Showroom AEON BiG Kepong, Kuala Lumpur 14,735.7 km
          away",-,https://www.carsome.my/buy-car/perodua/bezza/2021-perodua-bezza-advance-1.3/c63g500
2017,Mazda 2 SKYACTIV-G 1.5,"RM
          44,400",RM 592,"116,590 km",Automatic,"CARSOME Showroom Chan Sow Lin, Kuala Lumpur 14,744.2 km
          away",-,https://www.carsome.my/buy-car/mazda/2/2017-mazda-2-skyactiv-g-1.5/c48b500
2021,Perodua Ativa AV 1.0,"RM
          61,400",RM 673,"30,589 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",-,https://www.carsome.my/buy-car/perodua/ativa/2021-perodua-ativa-av-1.0/cidh500
